Hash Code 2021

Simulation
----------
Duration     : 1640
Intersections: 10000
Streets      : 35030
Cars         : 1000
Max score    : 1328389
Bonus points : 100

Schedule
--------
Intersections   : 7660
Street lights   : 11472
Arrived cars    : 998
Earliest arrival: 1
Latest arrival  : 1606
Crossed streets : 11472
Total wait time : 17457
Schedule score  : 1310774
Incremental Improver: 100 rounds
Greedy improver: 10 min wait time, 500 max streets per round
Street 13864, intersection 5768: 46 total wait time, 2 streets in the intersection
Street 22968, intersection 5660: 46 total wait time, 2 streets in the intersection
Street 12668, intersection 3309: 45 total wait time, 3 streets in the intersection
Street 23622, intersection 7241: 44 total wait time, 3 streets in the intersection
Street 233, intersection 7752: 44 total wait time, 4 streets in the intersection
Street 20676, intersection 56: 44 total wait time, 3 streets in the intersection
Street 5584, intersection 387: 43 total wait time, 2 streets in the intersection
Street 32470, intersection 1294: 43 total wait time, 3 streets in the intersection
Street 20695, intersection 6929: 41 total wait time, 3 streets in the intersection
Street 32620, intersection 3303: 40 total wait time, 3 streets in the intersection
Street 31979, intersection 5771: 38 total wait time, 2 streets in the intersection
Street 28877, intersection 443: 38 total wait time, 3 streets in the intersection
Street 24650, intersection 5758: 38 total wait time, 2 streets in the intersection
Street 1355, intersection 6586: 36 total wait time, 3 streets in the intersection
Street 25391, intersection 2031: 36 total wait time, 4 streets in the intersection
Street 24427, intersection 780: 35 total wait time, 4 streets in the intersection
Street 19740, intersection 393: 35 total wait time, 2 streets in the intersection
  => New best score by adding 0 to street 19740: 1310775
Street 6373, intersection 1443: 34 total wait time, 2 streets in the intersection
Street 32120, intersection 5273: 34 total wait time, 3 streets in the intersection
Street 13530, intersection 1296: 33 total wait time, 2 streets in the intersection
Street 20915, intersection 4215: 32 total wait time, 3 streets in the intersection
Street 26376, intersection 7190: 32 total wait time, 2 streets in the intersection
Street 7619, intersection 7752: 30 total wait time, 4 streets in the intersection
Street 22747, intersection 4402: 30 total wait time, 2 streets in the intersection
Street 28160, intersection 2366: 29 total wait time, 3 streets in the intersection
Street 1204, intersection 1712: 29 total wait time, 3 streets in the intersection
Street 30137, intersection 2031: 28 total wait time, 4 streets in the intersection
Street 2975, intersection 7757: 27 total wait time, 3 streets in the intersection
Street 9954, intersection 6774: 27 total wait time, 3 streets in the intersection
Street 7916, intersection 6897: 27 total wait time, 2 streets in the intersection
Street 7915, intersection 7004: 26 total wait time, 4 streets in the intersection
Street 1091, intersection 6485: 26 total wait time, 2 streets in the intersection
Street 7757, intersection 7334: 26 total wait time, 4 streets in the intersection
Street 21350, intersection 3727: 26 total wait time, 3 streets in the intersection
Street 18161, intersection 6681: 26 total wait time, 2 streets in the intersection
Street 1945, intersection 5763: 26 total wait time, 2 streets in the intersection
Street 10512, intersection 7852: 26 total wait time, 4 streets in the intersection
Street 11428, intersection 2634: 26 total wait time, 3 streets in the intersection
  => New best score by adding 1 to street 11428: 1310776
Street 12854, intersection 661: 26 total wait time, 2 streets in the intersection
  => New best score by adding 2 to street 12854: 1310777
Street 26974, intersection 258: 25 total wait time, 2 streets in the intersection
Street 22444, intersection 376: 25 total wait time, 2 streets in the intersection
Street 25364, intersection 858: 25 total wait time, 2 streets in the intersection
Street 26133, intersection 200: 24 total wait time, 2 streets in the intersection
Street 21622, intersection 1626: 24 total wait time, 2 streets in the intersection
Street 12349, intersection 4437: 24 total wait time, 3 streets in the intersection
Street 31856, intersection 7842: 24 total wait time, 3 streets in the intersection
Street 1890, intersection 1619: 24 total wait time, 3 streets in the intersection
Street 11059, intersection 3533: 24 total wait time, 2 streets in the intersection
Street 13832, intersection 799: 23 total wait time, 2 streets in the intersection
Street 18030, intersection 4440: 23 total wait time, 3 streets in the intersection
Street 33479, intersection 3264: 23 total wait time, 3 streets in the intersection
Street 16754, intersection 3458: 23 total wait time, 3 streets in the intersection
Street 11943, intersection 380: 23 total wait time, 2 streets in the intersection
Street 13337, intersection 6432: 23 total wait time, 2 streets in the intersection
Street 28780, intersection 1629: 22 total wait time, 2 streets in the intersection
Street 13422, intersection 5685: 22 total wait time, 2 streets in the intersection
Street 21055, intersection 4077: 22 total wait time, 3 streets in the intersection
Street 8887, intersection 677: 22 total wait time, 3 streets in the intersection
Street 2591, intersection 7219: 22 total wait time, 3 streets in the intersection
Street 25497, intersection 1623: 22 total wait time, 4 streets in the intersection
Street 25006, intersection 7334: 22 total wait time, 4 streets in the intersection
Street 34377, intersection 8690: 22 total wait time, 3 streets in the intersection
Street 2069, intersection 1631: 22 total wait time, 2 streets in the intersection
Street 1849, intersection 2880: 22 total wait time, 2 streets in the intersection
Street 32631, intersection 7333: 22 total wait time, 2 streets in the intersection
Street 27192, intersection 3463: 21 total wait time, 2 streets in the intersection
Street 21794, intersection 3538: 21 total wait time, 2 streets in the intersection
Street 6324, intersection 6924: 21 total wait time, 3 streets in the intersection
Street 8473, intersection 2594: 21 total wait time, 3 streets in the intersection
Street 18929, intersection 2802: 21 total wait time, 2 streets in the intersection
Street 27912, intersection 3047: 21 total wait time, 3 streets in the intersection
Street 26210, intersection 6510: 21 total wait time, 2 streets in the intersection
Street 6118, intersection 3194: 21 total wait time, 2 streets in the intersection
Street 9446, intersection 954: 21 total wait time, 3 streets in the intersection
Street 14392, intersection 4185: 21 total wait time, 2 streets in the intersection
Street 29321, intersection 7266: 21 total wait time, 3 streets in the intersection
Street 5006, intersection 2960: 21 total wait time, 3 streets in the intersection
Street 17716, intersection 1852: 20 total wait time, 2 streets in the intersection
Street 21328, intersection 6027: 20 total wait time, 3 streets in the intersection
Street 19017, intersection 4826: 20 total wait time, 2 streets in the intersection
Street 30122, intersection 3301: 20 total wait time, 2 streets in the intersection
Street 13079, intersection 7306: 20 total wait time, 3 streets in the intersection
Street 28050, intersection 5029: 20 total wait time, 3 streets in the intersection
Street 33904, intersection 3185: 20 total wait time, 2 streets in the intersection
Street 26935, intersection 2122: 20 total wait time, 2 streets in the intersection
Street 1178, intersection 4825: 20 total wait time, 2 streets in the intersection
Street 22250, intersection 6710: 20 total wait time, 3 streets in the intersection
Street 13641, intersection 1622: 20 total wait time, 2 streets in the intersection
Street 34187, intersection 8207: 20 total wait time, 4 streets in the intersection
Street 32888, intersection 4554: 19 total wait time, 2 streets in the intersection
Street 5517, intersection 9868: 19 total wait time, 3 streets in the intersection
Street 17926, intersection 608: 19 total wait time, 4 streets in the intersection
Street 3736, intersection 4326: 19 total wait time, 2 streets in the intersection
Street 31238, intersection 4022: 19 total wait time, 2 streets in the intersection
Street 8414, intersection 4021: 19 total wait time, 2 streets in the intersection
